"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","05/11/2022","4:45 PM"

"SN","MAGPX16145704"
"Batch","IgG_CovidOiseS4_30plex_plate5_20220511"
"Version","1"
"Operator","mph"
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Covid_30plex_new"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleWash","Off"
"SampleVolume","65 uL"
"BatchStartTime","5/12/2022 6:17:40 PM"
"BatchStopTime","5/12/2022 7:19:45 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","30"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 05/09/2022 12:07:47"
"Last VER Verification","Passed 05/09/2022 12:08:49"
"Last Fluidics Test","Passed 05/09/2022 12:10:09"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B83445","09/15/2022","5/9/2022 12:07:47 PM","26","26","26","26","163","205","310","310","0.00721","0.0071","0.00394","0.11668","Pass","MAGPX16145704"


"Samples","96","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron","Total Events"
"63(1,F3)","Unknown22","26966.93","779.57","3550.6","3680.59","3144.17","1405.25","6439.53","174.98","12445.02","627.31","14151.34","16180.66","2202.64","11391.26","23074.85","24910.16","1450.54","14350.23","4961.7","24091.55","3239.05","1830.69","11108.11","22721.11","5338.52","12316","14210.98","5762.09","20663.3","15047.12","1856"
"64(1,F4)","Unknown30","22135.51","426.69","1123.82","293.53","1209.43","528.98","867.56","160.06","6987.23","2457.27","7508.77","9244.08","532.62","1159.04","21695","22215.78","393.31","9345.92","840.85","21742.94","2630.47","571.28","6937.03","21473.57","2060.49","7440.8","8605.42","5641.21","11562.76","10690.52","1533"
"65(1,F5)","Unknown38","25195.56","905.48","997.79","414.13","1169.97","519.41","885.38","264.9","8124.68","1814.5","9615.22","12962.62","547.75","2235.53","22244.99","24241.03","1210.55","4292.84","1443.44","23865.92","2114.61","900.71","8406.58","20684.23","2462.69","7431.93","9018.66","6247.09","15862.18","8913.35","1784"
"66(1,F6)","Unknown46","26268.5","1749.78","1328.11","450.38","543.13","419.7","404.43","346.79","10681.28","480.4","12251","15780","489.29","821.29","22743.96","25394.55","2007.24","7199.67","15032.92","24089.27","5190.02","1766.43","9829.02","22282.78","2510.27","10024.22","12790.88","8447.31","19364.12","11636.06","1725"
"67(1,F7)","Unknown54","1036.82","608.68","4145.17","1114.9","775.53","1350.04","9039.37","364.59","191.24","1207.61","216.75","261.16","739.92","5247.31","208.91","155.61","1063.32","16434.44","222.59","147.67","812.46","5138.92","247.42","282.02","2696.45","220.62","221.02","401.31","187.17","277.52","1476"
"68(1,F8)","Unknown62","15356.1","328.79","1716.59","554.51","881.11","353.62","359.33","227.02","3163.05","1422.56","4483.93","7168.41","487.5","824.31","12338.26","14483.92","193.36","9800.02","2820.03","14605.35","1779.98","5896.88","4286.93","12355.61","2184.67","3347.38","4352.25","2739.77","9180.33","4830.46","1715"
"69(1,F9)","Unknown70","16220.44","214.16","2819.23","394.74","1103.33","427.09","477.88","1318.57","4431.59","1172.8","5869.22","9755.1","616.76","1732.21","13704.2","17942.36","585.46","16162.18","809.58","15714.05","2589.14","2160.69","5429.44","12580.51","966.31","4784.39","6017.61","1749.09","11974.73","7464.33","1727"
"70(1,F10)","Unknown78","21051.05","714.12","2001.59","2985.55","2188.22","855.46","2062.72","218.49","7573.96","4336.72","8961.57","12250.06","1692.22","757.71","18110.46","20811.85","2008.09","23900.07","803.02","21528.01","3905.87","4987.87","7341.18","17607.48","247.35","6815.56","8164.73","6363.84","11711.92","6729.32","1751"
"71(1,F11)","Unknown86","25621.39","2559.41","2088.48","2035.96","1818.71","762.6","481.72","2037.3","9695.55","1110.41","11331.29","14963.43","601.19","1500.73","22315.97","24271.05","956.61","19770.95","19334.14","21582.75","3621.88","2091.35","9172.94","19855.48","8111.08","7452.98","10516.04","5577.92","18081.72","10955.76","1930"
"72(1,F12)","Unknown94","16608.7","240.8","638.74","297.38","766.26","352.08","489","113.33","3868.25","1130.68","6212.92","8744.27","323.64","1703.36","15744.35","16097.13","800.91","1043.3","182.75","14918.02","3392.06","899.71","4687.3","12654.93","1577.44","3162.68","4875.4","2627.36","9193.2","4095.24","1309"
"73(1,G1)","Unknown7","25961.47","683.87","2116.39","876.11","689.43","535.09","1039.17","160.69","11691.04","2093.33","13115.68","15956.33","404.35","693.76","23850.85","25187.72","1139.63","13787.24","5339.69","24835.18","1769.31","1855.35","11566.5","23253.79","881.72","11192.07","13798.85","5059.81","19915.33","14651.26","1542"
"74(1,G2)","Unknown15","25895.85","579.22","2186.45","2294.06","1379.02","505.66","879.78","277.97","9722.03","2050.45","11939.04","15233.46","552.37","2467.44","23018.07","24580.13","165.34","6228.93","2213.91","24163.75","1837.34","1071.37","9676.83","20138.55","445.36","8368.91","10525.07","5058.52","16465.32","11412.07","1618"
"75(1,G3)","Unknown23","25679.43","587.72","1811.83","283.37","925.73","474.28","403.25","182.85","10864.69","1004.66","11926.62","14856.32","827.18","2451.87","21668.16","24986.34","1073.42","13545.9","1671.33","24001.71","4384.6","3660.48","10619.63","21062.38","6197.18","11595.72","12670.7","4235.37","17904.43","14252.49","1855"
"76(1,G4)","Unknown31","26617.75","969.7","7819.85","3204.9","1018.05","1698.26","422.13","270.2","10166.65","515.84","11009.26","14626.98","381.01","1425.57","23014.27","25656.79","921.24","9948.94","268.3","23389.33","2712.28","1738.45","9864.42","21775.02","3790.07","10548.9","12193.18","6065.4","16472.86","13870.12","1556"
"77(1,G5)","Unknown39","17929.51","680.06","501.34","361.14","428.14","461.79","1109.24","117.05","3997.66","2457.17","5157.91","9115.72","532.59","1514.56","15625.19","19839.01","1315.33","5454.72","206.97","18398.15","665.31","1736.96","5092.08","15627.3","4202.71","3541.15","4974.8","6195.92","9364.84","3658.37","1698"
"78(1,G6)","Unknown47","19121.63","749.14","1837.74","1595.86","830.85","556.1","648.71","822.97","5189.97","1271.42","6230.94","10412.72","805.81","4367.93","14237.94","20246.31","474.11","9071.93","801.64","20289.9","1379","6619.57","6792.53","15377.7","6710.97","6320.41","7188.93","5652.15","13015.75","10229","1720"
"79(1,G7)","Unknown55","575.94","369.42","3758.47","490.92","1133.68","895.16","788.51","187.84","174.61","1501.23","245.22","211.46","980.07","2362.77","994.26","2163.56","393.77","16436.4","6526.59","2329.4","425.27","6461.7","216.81","1508.53","1385.11","227.81","211.92","937.79","5354.66","1074.75","1747"
"80(1,G8)","Unknown63","22911.51","423.69","1958.42","179.29","527.76","217.49","243.88","345.04","7550.22","445.93","8856.9","11496.68","1418.44","1966.43","20066.64","23010.73","300.25","6482.38","765.7","21984.16","647.23","961.26","7240.72","18914.04","1829.86","5406.79","8115.35","6498.26","11721.28","6264.67","1551"
"81(1,G9)","Unknown71","874.28","312.73","384.79","326.05","431.79","489.63","792.77","143.13","237.82","1583.1","548.71","770.3","624.66","1742.86","2048.87","2111.74","125.82","20855.56","5433.45","2303.9","1164.36","5292.84","308.38","1981.78","730.64","366.11","377.48","686.79","9318.58","2242.85","1843"
"82(1,G10)","Unknown79","19493.01","1875.19","1214.98","704.82","1704.44","722.58","1596.97","208.98","6792.37","3746.34","7008.21","10223.87","727.21","2329.05","18262.6","18551.08","320.27","18714.75","13180.85","16294.7","1740.11","1520.83","6217.54","17577.85","4595.44","6515.6","8181.48","2214.36","12289.91","6633.61","1633"
"83(1,G11)","Unknown87","27488.77","4209.74","3113.96","1395.75","3778.34","683.39","698.85","498.28","9784.4","1225.6","11484.38","16398.43","892.94","4515.57","24820.75","26761.57","861.86","25245.49","25172.84","27735.96","1258.32","2533.69","10348.53","23750.31","3862.38","9308.97","11191.42","9750.28","16815.93","10682.51","1640"
"84(1,G12)","Unknown95","15245.41","1270","798.64","576.46","1092.32","478.6","818.45","244.55","3077.55","1743.82","4085.66","7878.12","428.8","1303.59","12027.95","14776.53","399.52","6713.63","14863.75","11090.98","821.47","3775.56","4125.31","11462.68","3530","2655.89","4144.1","2282.98","8045.11","3093.77","1591"
"85(1,H1)","Unknown8","24223.18","508.7","2342.78","3817.82","1347.84","815.79","1243.78","124.77","3548.93","2907.86","10345.13","14178.93","486.71","1247.75","20128.32","21276.72","534.07","17617.86","321.52","14080.12","1497.35","4494","7724.38","9062.38","4196.42","4132.77","4957.15","2951.94","6689.72","5616.77","1755"
"86(1,H2)","Unknown16","9571.72","360.48","4511.08","1958.14","374.41","573.07","731.51","310.13","1544.33","1612.84","1869.33","4267.78","314.82","899.75","8011.96","13011.48","392.75","9973.08","889.08","9067.96","2803.02","7294.08","2152.59","9629.45","253.21","1598.78","2290.29","2754.91","4417.88","1209.12","1701"
"87(1,H3)","Unknown24","25363.14","335.86","1303.87","384.03","1775.19","228.08","277.25","218.13","10139.21","273.38","11864.13","15594.93","1292.5","1555.78","21860.41","23979.28","1361.92","4986.34","609.33","21448.77","2671.65","1781.47","9547.31","21221.15","1161.82","9438.3","12309.4","2252.65","18701.03","12841.18","1860"
"88(1,H4)","Unknown32","12354.42","304.61","1201.58","1018.67","964.98","438.37","776.13","91.04","2777.39","1852.24","3845.52","7636.4","872.89","1458.03","9079.68","14831.65","511.24","13682.23","187.25","12040.86","2344.17","7348.28","4301.07","9259.94","4589.66","3196.26","3868.48","1293.93","7419.18","5821.64","1781"
"89(1,H5)","Unknown40","20753.04","407.62","2004.61","247.23","654.52","839.83","897.46","232.34","6879.18","2106.35","8168.32","12408.32","692.51","2316.51","17529.35","21456.22","773.38","11348.45","242.6","21465.56","3080.14","2374.57","7336.97","16145.51","2543.82","7265.07","8790.68","7019.11","12862.3","8223.47","1779"
"90(1,H6)","Unknown48","18894.8","288.87","1223.81","441.53","390.6","506.48","1357.8","100.56","4706.92","1946.04","5807.19","9683.94","430.4","2086.37","13361.28","16739.65","552.1","8244.92","197.96","16111.31","1344.36","2931.56","5274.67","11252.18","885.2","4011.22","4695.78","3152.71","6591.42","6245.12","1760"
"91(1,H7)","Unknown56","8698.92","617.74","4259.5","1855.27","2111.72","971.19","1381.47","194.81","1899.79","2111.36","2267.33","4915.29","414","2119.28","6187.43","12666.8","657.02","10154.63","141.34","13707.24","2762.23","3913.11","2378.81","7484.87","4981.71","2214.02","2261.66","1663.12","3092.42","5007.04","1881"
"92(1,H8)","Unknown64","22247.37","366.22","4875.9","914.03","2604.64","507.31","739.45","2667.4","5283.82","673.21","7580.8","13048.21","1666.09","4029.06","18093.07","21905.3","1189.27","13091.13","1328.93","19749.71","3968.56","1539.04","7081.57","16355.32","1179.66","4912.62","6311.12","4788.73","9904.78","6394.72","1884"
"93(1,H9)","Unknown72","21898.24","474.59","1698.05","726.55","881.04","586.79","807.9","1591.98","8073.39","1731.69","8756.65","13345.68","677.19","3850.66","17603.13","22757.85","911.63","15080.42","1300.3","21547.68","1757.71","5081.33","7893.36","17277.55","2368.57","7939.51","8510.2","5401.29","15359.07","11522.64","1849"
"94(1,H10)","Unknown80","3859.89","306.06","903.51","785.31","834.05","404.1","603.78","227.19","428.1","901.36","558.18","1663","1090.12","3529.05","2533.84","4900.13","1909.14","13855.43","1648.03","4850.91","2399.65","3937.88","803.48","4569.49","4944.82","383.82","498.21","1325.31","1614.51","492.46","1677"
"95(1,H11)","Unknown88","16578.89","230.38","701.36","375.97","4044.8","321.33","547.42","95.95","4687.28","1169.27","5649.14","8809.43","426.65","1434.42","13527.72","16555.03","382.47","7077.13","348.57","15166.52","1259.04","1070.43","4659.2","13239.82","4240.92","3365.21","5233.4","3415.8","8496.35","3788.4","1858"
"96(1,H12)","Unknown96","8318.2","738.31","1167.92","777.07","1091.61","619.08","1298.7","351.15","1780.6","2582.15","2059.77","3393.42","444.56","1330.81","8428.54","7292.3","594.94","10414.53","5711.71","7564.02","973.59","1240.5","1741","7549.83","1667.64","1527.56","1899.28","1172.48","2836.15","1288.62","1392"

"DataType:","%CV"
"Location","Sample","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron","Total Events"
"1(1,A1)","B","35.12","21.3","29.63","22.29","24.09","17.28","26.15","19.76","28.82","31.07","40.88","22.77","30.84","22.7","24.08","44.93","22.14","27.35","35.93","20.9","29.74","21.65","21.27","29.22","25.66","23.03","30.67","21.47","21.85","20.01","1692"
"2(1,A2)","S","27.08","40.29","20.63","11.97","20.88","8.08","11.36","10.83","22.36","20.27","19.55","15.18","13.05","15.49","9.26","7.74","16.11","9.58","20.05","13.79","15.04","10.96","67.68","12.09","9.39","20.04","27.18","28.87","11.42","24.46","1588"
"3(1,A3)","S","20.97","20.93","23.63","197.13","12.56","15.28","19.19","20.59","35.14","12.57","21.18","23.73","17.59","18.36","7.59","15.53","27.43","12.29","12.21","13.88","48.22","22.09","61.7","13.88","10.38","25.94","62.17","22.31","10.65","70.31","1747"
"4(1,A4)","S","28.23","27.14","19.73","16.7","17.1","20.57","18.45","25.66","44.95","10.25","20.22","15.31","14.85","15.87","20.29","18.1","10.59","19.02","24.17","12.28","19.03","13.9","30.09","11.04","12.43","20.38","21.77","26.51","15.02","27.13","1585"
"5(1,A5)","S","34.06","15.7","24.89","17.45","14.3","15.8","19.65","17.28","37.2","10.49","40.85","16.24","26.69","11.33","8.81","18.63","27.04","16.52","16.53","11.88","11.42","11.3","28.03","9.83","10.96","95.49","42.83","21.76","18.47","88.62","1432"
"6(1,A6)","S","31.2","18.42","38.27","113.51","24.68","18.23","15.09","30.02","61.25","16.6","24.8","31.72","24.28","22.14","14.74","9.49","18.35","21.41","15.27","17.43","21.04","16.47","81.38","12.4","16","26.61","46.19","26.31","25.07","21.62","1893"
"7(1,A7)","S","27.96","16.91","21.62","20.43","16.88","16.39","21.92","19.69","61.44","27.15","35.88","28.92","24","17.92","7.62","18.14","52.2","20.45","14.62","15.73","17.88","17.91","90.1","18.46","18.16","24.15","22.88","23.48","50.17","22.9","1540"
"8(1,A8)","S","26.29","40.99","19.14","19.33","16.1","14.91","17.29","20.04","30.62","25.29","43.81","22.4","22.55","15.98","9.07","10.55","17.33","19.69","9.72","13.55","12.96","31.87","22.94","13.77","16.32","32.13","22.69","23.12","16.13","26.49","1795"
"9(1,A9)","S","30.87","17.54","44.26","20.05","13.99","17.66","23.06","22.97","25.27","21.35","22.7","18.64","16.59","39.84","15.55","13.03","23.86","12.7","14.7","11.9","26.17","14.81","20.72","24.97","20.96","18.53","18.13","22.98","22.86","16.54","1916"
"10(1,A10)","S","30.57","20.76","34.24","17.18","20.92","16.61","16.94","20.11","28.44","14.91","22.91","22.55","33.03","15.81","10.96","11.27","19.28","11.34","16.98","12.21","24.68","17.77","21.61","19.52","25.85","56.23","22.65","25.68","15.95","20.72","1518"
"11(1,A11)","S","20.88","14.37","15.38","13.42","12.92","15.68","15.84","15.99","21.63","13.4","21.86","14.09","21.92","17.37","15.74","13.46","19.96","11.97","13.59","15.12","18.53","16.21","17.76","25.2","17.88","22.22","15.82","13.31","14.2","15.39","1726"
"12(1,A12)","S","24.14","21.86","22.25","21.06","15.51","16.18","21.2","27.93","25.89","24.96","25.42","22.82","46.09","32.32","127.17","66.3","18.29","54.08","19.67","19.13","26.77","22.37","24.6","41.34","22.75","24.03","20.11","20.51","114.13","22.01","1861"
"13(1,B1)","Unknown2","18.85","24.43","27.68","16","14.84","16.01","22.62","26.63","26.23","12.34","20.05","9.47","14.61","13.36","15.89","6.59","22.11","10.88","20.22","19.33","16.8","16.31","37.92","17.26","18.8","23.15","24.76","20.35","16.84","26.4","1534"
"14(1,B2)","Unknown10","15.23","109.16","17.87","12.7","21.94","17.38","51.39","33.81","23.61","30.51","9.75","18.07","19.35","95","21.77","13.31","23.29","16.87","22.64","11.22","14.6","15.67","19.08","14.57","16.71","15.9","10.44","28.44","16.17","20.12","1759"
"15(1,B3)","Unknown18","17.71","51.88","25.61","14.74","23.96","26.71","23.01","125.92","27.22","21.78","22.81","20.23","23.89","21.88","18.09","25.53","37.15","22.48","18.2","7.99","22.42","12.29","44.92","21.84","20.91","27.13","29.13","28.07","12.97","20.94","1980"
"16(1,B4)","Unknown26","19.57","23.04","27.03","18.9","24.53","23.15","18.62","19.96","30.32","17.18","21.19","21.19","14.28","22.02","17.07","18.5","31.98","23.33","25.38","22.13","24.63","20.16","22.77","19.35","22.25","19.18","15.71","18.47","24.09","24.82","1604"
"17(1,B5)","Unknown34","17.43","16.89","16.34","321.51","28.66","20.8","22.9","16.94","24.07","11.43","18.07","22.19","15.66","13.23","6.58","7.37","39.55","26.14","12.54","10.41","14.36","7.75","37.88","7.93","13.17","35.93","27.2","16.57","12.88","97.02","1804"
"18(1,B6)","Unknown42","24.06","24.11","25.18","261.53","23.98","16.69","23.26","30.76","28.22","133.75","19.55","13.76","18.83","29.94","17.49","15.52","20.17","22.86","21.68","12.11","25.32","18.73","31.99","10.45","31.6","27.06","32.32","27.29","14.8","28.12","1759"
"19(1,B7)","Unknown50","15.66","21.03","17.87","55.71","67.62","31.88","16.24","26.96","18.27","28.18","15.29","14.22","17.48","11.94","6.5","13.58","22","16.12","14.92","16.03","19.5","14.62","18.65","9.86","14.47","22.23","15.8","17.35","11.15","25.17","1583"
"20(1,B8)","Unknown58","22.4","45.01","21.74","261.96","16.39","20.11","82.42","30.95","25.54","60.6","31.06","22.11","12.48","13.42","18.52","9.51","13.85","9.06","221.32","6.94","28.72","63.61","37.54","12.1","10.61","32.88","18.76","26.09","7.81","22.47","1642"
"21(1,B9)","Unknown66","18.9","13.62","16.19","13.14","22.23","15.78","20.04","27.79","23.18","51.72","9.93","8.46","12.88","16.63","17.43","15.52","18.7","12.8","24.26","7.86","10.08","204.46","22.25","17.9","19.38","18.66","22.56","19.98","6.71","13.64","1381"
"22(1,B10)","Unknown74","13.34","39.5","19.18","13.08","22","16.27","19.03","95.53","13.54","29.03","8.69","10.16","13.5","12.07","9.79","7.47","24.1","12.1","18.82","7.79","25.82","19.21","22.46","10.66","12.92","17.56","68.9","23.57","7.9","20.51","1356"
"23(1,B11)","Unknown82","199.55","12.51","24.92","22.25","12.87","21.18","58.3","11.14","39.35","222.31","343.11","12.72","15.93","12.63","31.48","14.99","21.51","12.27","10.65","10.23","15.35","10.7","15.93","14.52","23.07","83.84","58.63","38.98","7.33","65.82","1623"
"24(1,B12)","Unknown90","19.24","26.76","15.77","13.24","19.6","11.84","71.88","11.73","17","10.05","14.51","9.22","13.48","15.59","6.72","17.81","23.72","12.27","15.96","5.24","13.2","11.56","14.31","6.46","11.29","16.19","9.18","20.35","6.3","26.91","1263"
"25(1,C1)","Unknown3","21.23","26.26","21.57","466.31","16.89","61.95","23.61","15.35","24.11","20.36","18.64","17.66","13.45","19.54","9.66","13.25","15.34","15.49","370.73","11.4","16.51","106.98","40.27","6.06","14.35","22.6","25.87","18.39","10.38","27.41","1523"
"26(1,C2)","Unknown11","24.58","22.43","30.42","17.77","21.69","25.83","20.42","18.72","34.19","24.71","28.93","21.49","26.4","22.87","11.05","17.5","37.33","14","14.05","15.82","16.68","17.16","33.51","33.25","18.37","34.45","25.29","20.47","21.12","27.73","1389"
