"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","12/20/2021","10:50 AM"

"SN","MAGPX16145704"
"Batch","IgG_CovidOise0_amiens_plate2_20211220"
"Version","1"
"Operator","mph"
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Covid_28plex"
"ProtocolVersion","3"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleWash","Off"
"SampleVolume","65 uL"
"BatchStartTime","12/20/2021 11:44:15 AM"
"BatchStopTime","12/20/2021 12:15:53 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","28"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 12/20/2021 10:56:41"
"Last VER Verification","Passed 12/20/2021 10:57:43"
"Last Fluidics Test","Passed 12/20/2021 10:59:02"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B81409","05/21/2022","12/20/2021 10:56:41 AM","26.3","26.3","26.3","26.3","167","207","313","313","0.00709","0.00709","0.00395","0.11616","Pass","MAGPX16145704"


"Samples","49","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA","Total Events"
"18(1,B6)","Unknown42","215","255","4402","1543","7224","491","325","623","106","767","200","224","1419","2596","58","78","1736","20070","112","112","1546","8918","208","177","1483","207","177","178","1818"
"25(1,C1)","Unknown3","4279","942","2618","1732","5442","802","1072","734","1539","1015","1424","2725","770","5696","2973","3216","899","12339","6139","3913","2522","3198","578","5026","2723","432","982","680","1779"
"26(1,C2)","Unknown11","122","200","766","313","1064","369","904","301","84","1880","103","127","941","606","36","57","88","7239","244","60","1028","1741","107","84","945","206","99","103","1841"
"27(1,C3)","Unknown19","148","369","1416","709","2612","705","1155","77","62","2221","71","111","301","353","38","126","57","5915","143","112","325","1022","77","144","2318","99","80","200","1837"
"28(1,C4)","Unknown27","1877","338","936","402","5660","256","490","113","556","905","2226","1805","298","1669","5235","2295","466","11898","1531","1542","6926","1959","234","1371","2031","217","184","1598","1830"
"29(1,C5)","Unknown35","156","183","1067","737","2223","324","626","132","87","1472","115","133","652","2429","38","87","216","3079","95","137","2717","474","132","142","2212","116","143","122","1711"
"30(1,C6)","Unknown43","289","287","3075","4103","5454","1955","489","177","127","1195","189","216","1367","4120","45","74","470","15002","653","86","579","2617","208","216","6181","255","168","156","1819"
"37(1,D1)","Unknown4","369","531","6167","3072","6160","3087","1366","328","168","2408","192","276","1536","1365","58","121","370","17774","1019","71","3645","5435","225","142","2121","244","227","287","1689"
"38(1,D2)","Unknown12","1886","1109","3081","1533","6957","681","769","682","650","1664","628","1062","869","1969","896","1421","703","5434","11348","1416","1742","1475","370","1668","2608","450","490","532","1924"
"39(1,D3)","Unknown20","176","310","2322","867","1979","2411","803","314","217","1360","235","300","982","1898","142","191","301","6188","223","155","944","2506","324","314","4277","741","234","276","1684"
"40(1,D4)","Unknown28","1025","435","1253","3069","6128","470","368","183","341","512","169","192","1210","2613","176","942","198","18463","162","1208","599","4984","207","1264","1607","266","208","216","1782"
"41(1,D5)","Unknown36","1421","354","6137","797","6650","2394","199","470","491","529","471","1156","1108","2513","1480","1547","157","5236","868","1256","653","2950","267","2624","1159","191","300","438","1835"
"49(1,E1)","Unknown5","168","162","1258","767","1152","653","707","87","91","740","99","112","1032","1887","41","63","100","12331","87","65","1208","1884","111","87","245","112","87","162","1547"
"50(1,E2)","Unknown13","149","169","603","767","2127","277","371","2129","111","512","127","183","127","1608","38","55","3091","7901","161","43","4625","2829","126","91","4264","167","184","133","1637"
"51(1,E3)","Unknown21","100","209","869","861","2970","555","1160","149","70","2497","91","91","266","905","32","36","266","8830","77","45","3314","3627","107","87","531","112","99","155","1560"
"52(1,E4)","Unknown29","70","199","832","829","2717","299","905","174","95","899","138","117","451","1303","41","49","310","16339","103","58","1602","2319","127","99","2952","163","150","117","1429"
"53(1,E5)","Unknown37","254","286","5018","1152","6681","870","908","111","112","1973","137","123","598","1203","43","148","116","16985","126","176","470","5891","168","266","1482","122","169","176","1756"
"61(1,F1)","Unknown6","150","209","417","1300","1414","830","897","1311","91","2218","91","132","488","1423","41","45","288","9640","276","51","1493","1259","87","116","770","108","111","91","1604"
"62(1,F2)","Unknown14","5903","867","9267","5240","8543","1538","325","356","1815","512","1163","1877","981","1807","2495","5662","943","9645","2843","6979","3764","2048","648","6141","3081","471","1020","981","1913"
"63(1,F3)","Unknown22","14433","1675","651","537","2511","678","1061","943","9290","1808","6672","10872","207","402","14480","15086","662","6127","13977","15721","309","1750","2841","13982","170","1064","5260","1306","1457"
"64(1,F4)","SP","6413","254","2616","602","3767","489","1058","133","2049","1472","1067","1893","352","1545","3073","6974","200","8588","399","9963","371","3080","509","7818","1254","300","907","769","1730"
"65(1,F5)","Unknown38","10441","1255","4836","435","13887","771","1425","276","4473","2511","2408","5045","1474","1811","6993","12263","767","2943","12314","13983","736","1733","839","11811","2956","869","1209","4100","1622"
"73(1,G1)","Unknown7","92","449","1257","1480","1596","4073","983","121","111","1482","177","155","494","2814","58","58","805","7211","92","63","1110","1411","155","132","2036","217","133","155","1678"
"74(1,G2)","Unknown15","206","382","2134","3954","4073","3075","2040","601","192","1253","277","255","988","4837","51","60","654","16368","117","95","3169","6147","255","214","2839","246","234","207","1674"
"75(1,G3)","Unknown23","7246","840","8226","1866","10129","4998","288","2427","2054","455","1891","2611","1310","1488","4444","5451","534","19200","6951","5234","1202","5442","705","5010","3782","450","802","1962","1582"
"76(1,G4)","FD","14506","299","626","454","1733","400","939","156","8233","1808","6171","8491","245","1739","13364","17720","535","14437","352","16959","1020","3913","2720","15085","2950","1200","4447","3625","1648"
"77(1,G5)","Unknown39","100","127","938","415","2418","603","869","433","78","2033","107","144","651","2966","36","49","156","4665","553","51","2407","2864","91","65","4454","132","96","87","1746"
"85(1,H1)","Unknown8","216","236","1112","1804","3941","324","224","88","100","431","148","299","1302","5883","32","58","301","2830","176","77","3088","941","126","132","4264","163","131","91","1569"
"86(1,H2)","Unknown16","198","351","1421","1253","3191","453","1068","95","87","1739","111","144","1156","2053","35","47","279","10067","103","45","2148","7895","132","73","1744","169","112","132","1789"
"87(1,H3)","Unknown24","6189","973","2136","1740","6180","678","681","2948","2052","1671","2127","4096","1207","1539","2419","5638","471","13849","8499","5477","979","2855","737","5426","532","434","1982","898","1616"
"88(1,H4)","LG","23582","340","2412","578","5457","350","472","199","13341","804","11312","14456","831","2145","19225","21814","191","11361","185","21781","1420","1539","5239","19246","1889","2309","8849","2212","1706"
"89(1,H5)","Unknown40","1967","510","4253","2517","5231","1549","681","169","532","624","225","215","1740","8201","340","1748","580","19961","127","2312","1959","4808","278","2323","3095","313","278","401","1714"

"DataType:","Trimmed Standard Deviation"
"Location","Sample","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA","Total Events"
"1(1,A1)","B","6.4","4.65","6.63","7.17","4.85","5.24","5.12","6.93","5.02","5.16","5.16","5.2","6.38","5.12","5.06","6.2","3.82","4.71","7.22","5.68","5.61","6.13","4.47","11.42","13.41","5.36","3.93","11.93","1817"
"2(1,A2)","S","1698.29","318.36","545.59","583.44","1003.34","609.3","170.51","304.09","846.08","431.19","562.83","780.37","161.43","441.81","905.28","1309.08","231.1","1838.67","1151.92","964.71","1420.46","439.78","234.15","917.44","517.21","196.05","359.09","519.18","1772"
"3(1,A3)","S","1793.69","274.31","488.23","671.99","884.67","304.42","180.71","186.43","696.82","237.42","501.96","723.84","109.25","320","676.69","1060.13","182.66","1931.25","1196.58","915.79","849.36","510.23","185.72","868.01","499.6","136.81","227.97","268.82","1797"
"4(1,A4)","S","1103.98","151.8","144.27","314.75","518.09","185.72","148.87","125.69","304.65","193.25","271.35","577.65","53.53","141.85","533.79","484.99","115.66","1658.47","1256.15","507.38","663.85","173.54","135.72","462.43","203.04","77.73","122.34","156.61","1800"
"5(1,A5)","S","797.49","79.1","139.1","158.12","556.68","103.74","112.1","64.97","214.64","135.31","182.3","241.95","50.94","91.75","298.57","598.9","58.29","970.71","742.71","458.76","311.55","121.52","61.52","597.3","105","52.33","80.55","100.67","1766"
"6(1,A6)","S","453.53","39.79","59.41","87.77","245.78","68.03","62.71","42.5","162.3","87.74","104.99","223.03","25.37","53.12","213.71","231.48","42.79","864.55","588.77","229.59","217.06","59.58","33.79","232.35","52.71","31.55","46.92","71.43","1794"
"7(1,A7)","S","223.01","24.64","40.13","70.28","126.95","46.65","32.82","16.8","70.87","55.67","62.37","131.63","12.67","28.05","129.08","200.69","19.55","363.61","281.36","164.2","127.44","44.87","18.34","195.35","35.95","17.58","29.29","32.37","1957"
"8(1,A8)","S","127.18","12.65","23.37","29.42","52.95","21.18","20.01","13.12","47.01","35.7","34.06","62.73","9.21","21.82","80.73","116.67","11.82","192.67","136.08","86.3","57.13","22.22","14.37","102.4","22.2","12.57","15.99","19.17","1848"
"9(1,A9)","S","75.29","10.15","15.65","19.56","38.56","12.25","13.33","9.39","20.53","21","18.26","31.45","7.51","10.28","41.53","66.44","9.59","97.62","79.49","42.52","28.38","14.92","9.2","76.91","16.39","8.24","9.82","14.08","1766"
"10(1,A10)","S","37.08","6.06","8.5","12.99","22.6","10.14","8.37","6.99","17.71","11.99","12.45","19.69","7.75","7.56","18.99","33.04","4.81","63.42","38.08","22.97","12.86","11.04","6.41","44.76","16.26","5.89","6.53","14.47","1717"
"11(1,A11)","S","22","4.89","9.78","10.53","13.06","6.93","6.4","7.17","11","9.63","8.73","10.98","5.51","6.63","14.6","20.58","4.12","27.55","22.07","15.08","13.72","8.94","6.63","26.15","13.25","5.63","5.3","12.38","1821"
"12(1,A12)","S","7.33","4.51","7.88","6.57","6.82","5.41","5.37","6.97","4.99","7.43","6.05","7.06","6.81","5.61","6.62","9.26","3.4","9.62","10.38","6.36","6.13","7.27","3.76","14.16","10.11","4.69","4.91","13.01","1805"
"13(1,B1)","Unknown2","1125.02","74.8","127.92","124.91","475.58","79.13","94.69","39.17","382.91","105.38","351.84","765.42","83.04","172.15","796.92","1162.97","72.38","1074.55","375.99","748.34","434.55","190.38","168.25","883.43","513.67","62.55","273.85","89.49","1853"
"14(1,B2)","Unknown10","47.94","130.17","128.91","256.09","495.84","135.5","51.18","27.84","34.67","78.74","38.79","32.6","54.81","198.59","10.85","16.39","23.54","1879.53","17.06","20.66","527.44","136.04","27.02","38.24","407.2","34.83","24.04","25.68","1694"
"15(1,B3)","Unknown18","903.82","177.25","166.2","116.46","455.1","148.74","142.02","138.86","300.54","193.19","299.48","517.79","62","218.01","549.36","789.72","133.69","1170.09","1304.52","644.24","267.27","468.19","124.23","650.97","432.41","104.96","190.76","137.99","1789"
"16(1,B4)","Unknown26","135.71","126.34","197.96","667.67","478.38","260.93","79.54","40.29","67.89","184.13","75.43","55.78","115.25","377.5","11.42","12.56","68.27","1982.92","25.99","10.42","1433.02","526.78","41.23","24.37","426.29","53.48","44.95","74.4","1890"
"17(1,B5)","Unknown34","77.51","103.07","158.54","632.96","340.13","130.81","188.65","36.53","53.36","204.54","100.47","61.42","101.65","140","34.57","102.08","204.67","2186.06","31.6","95.91","805.64","807.21","34.07","105.52","409.72","48.45","56.17","29.31","1739"
"18(1,B6)","Unknown42","36.98","35.88","521.68","240.88","720.73","66.39","35.2","106.23","21.95","65.75","46.64","45.78","135.39","384.6","14.48","23.78","384.93","2397.54","19.25","10.41","1533.1","740.12","63.49","27.33","113.69","39.87","27.21","35.71","1818"
"25(1,C1)","Unknown3","806.08","191.42","213.61","327.16","470.68","105.28","154.69","165.87","261.1","85.64","215.91","314.48","71.26","533.96","732.78","686.74","172.76","1406.74","1066.61","570.17","823.91","489.27","104.19","627.89","349.3","104.51","181.6","94.82","1779"
"26(1,C2)","Unknown11","15.13","32.38","73.67","51.12","96.78","47.43","91.4","32.56","26.48","168.37","20.73","15.07","83.54","59.85","9.17","9.87","11.67","693.96","30.86","12.29","321.62","111.15","17.31","20.59","95.56","40.62","19.39","15.54","1841"
"27(1,C3)","Unknown19","15.68","53.92","127.47","94.57","221.28","117.85","152.97","13.37","13.38","194.03","14.95","18.31","27.92","36.49","11.02","13.01","10.34","944.82","19.54","10.09","80.69","97.7","14.23","23.79","202.51","19.37","15.74","34.37","1837"
"28(1,C4)","Unknown27","454.35","57.72","101.19","53.6","680.81","42.63","58.92","23.88","104.14","81.93","251.97","172.69","23.44","129.97","533.97","229.12","90.74","1343.46","160.61","98.06","2192.88","145.43","30.19","127.41","153.07","35.77","29.34","139.98","1830"
"29(1,C5)","Unknown35","31.06","33.58","96.75","128.08","319.33","52.42","86.66","16.13","33.27","134.63","23.66","25.49","61.77","298.15","11.31","21.6","59.38","673.76","12.34","14.31","968.41","61.32","22.84","20.62","159.46","27.46","18.67","54.03","1711"
"30(1,C6)","Unknown43","90.41","76.75","346.5","649.37","522.03","232.44","48.43","27.76","35.56","126.83","69.69","48.62","136.51","517.93","11.64","16.03","80.06","1815.49","57.39","12.12","307.31","215","37.46","39.31","560.39","44.45","40.5","41.3","1819"
"37(1,D1)","Unknown4","102.18","81.67","480.01","460.76","457.13","428.99","145.89","56.54","27.58","228.75","66.68","36.92","112.38","120.46","9.44","20.38","53.52","2163.54","134.6","6.73","1128.05","436.74","50.73","21.59","130.42","44.53","32.6","56.19","1689"
"38(1,D2)","Unknown12","178.32","274.21","320.35","176.43","676.51","98.75","103.12","238.57","100.06","124.33","102.62","198.74","81.32","192.61","101.08","141.35","135.95","902.34","1461.83","111.9","1255.58","127.86","74.76","145.41","187.37","88.84","68.41","161.72","1924"
"39(1,D3)","Unknown20","24.74","39.04","189.56","115.1","184.3","293.12","93.11","44.06","82.91","123.68","37.58","36.72","87.43","194.2","24.56","34.68","37","786.29","27.33","37.86","232.13","184.26","39.1","49.51","375.11","161.18","31.22","47.07","1684"
"40(1,D4)","Unknown28","133.29","57.7","157.65","605.44","533.95","90.14","53.65","35.7","65.64","55.55","64.7","40.49","93.92","241.55","31.37","164.67","34.28","2124.12","25.99","201.32","429.53","538.06","20.93","190.39","133.45","45.97","33.1","35.1","1782"
"41(1,D5)","Unknown36","299.95","56.68","671.14","136.03","838.56","388.74","27.08","61.89","90.59","54","63.05","119.41","70.03","203.65","182.77","130.48","46.17","588.7","126.75","113.46","423.82","319.13","40.82","329.24","103.27","31.97","38.1","61.88","1835"
"49(1,E1)","Unknown5","29.14","35.07","110.2","99.06","76.66","92.75","69.75","17.67","14.13","69.78","26.31","21.76","104.16","164.13","7.91","10.85","16.01","1649.05","12.5","8.85","353.2","132.17","15.6","20.98","29.45","21.95","22.87","25.52","1547"
"50(1,E2)","Unknown13","32.58","32.82","48.42","87.77","167.49","41.66","38.3","311.74","24.11","50.34","35.82","33.49","16.46","141.3","6.91","9.71","625.83","1121.31","19.7","9.76","1356.19","221.64","21.68","41.62","499.25","38.7","23.33","24.42","1637"
"51(1,E3)","Unknown21","21.75","30.28","81.28","122.01","316.43","64.93","127.05","23.56","17.94","274.86","31.27","18.72","28.12","82.19","9.76","8.6","69.08","1147.19","14.09","6.4","1198.68","477.74","13.55","19.26","62.03","25.2","17.83","28.21","1560"
"52(1,E4)","Unknown29","30.36","35.35","93.88","117.37","365.6","47.35","114.48","18.84","23.24","122.73","30.85","26.35","60.69","108.37","5.82","14.84","74.33","1793.71","19.39","13.6","486.59","180.7","23.64","22.02","423.24","40.9","23.27","40.79","1429"
"53(1,E5)","Unknown37","36.83","38.94","427.34","118.84","614.85","142.86","109.39","19.09","23.06","231.43","29.55","31.94","50.45","97.18","8.69","27.75","22.2","2197.21","24.94","21.84","264.51","489.13","19.48","37.43","110.55","35.36","25.12","20.05","1756"
"61(1,F1)","Unknown6","33.74","36.55","41.06","249.87","121.37","110.18","106.53","221.63","15.56","192.03","38.69","25.47","51.7","148.9","8.21","8.39","127.4","1335.08","39.94","6.46","430.72","119.15","17.18","20.02","73.15","23.59","24.24","18.06","1604"
"62(1,F2)","Unknown14","993.63","140.76","793.06","690.54","715.43","243.77","47.66","99.26","327.48","56.58","195.45","259.89","65.79","159.51","311.92","912.25","173.18","1569.81","409.52","816.11","1201.03","184.02","82.04","734.16","418.43","121.67","107.02","121.08","1913"
"63(1,F3)","Unknown22","2401.79","305.69","205.82","70.37","344.74","143.78","148.22","303.16","1421.84","180.39","907.04","1890.13","35.98","65.92","1660.28","1619.37","166.34","1002.97","1744.96","1792.43","541.29","178.06","524.05","1651.21","38.12","244.4","790.37","238.39","1457"
"64(1,F4)","SP","1318.47","31.95","400.09","80.79","616.46","73.12","121.96","21.91","265.03","133.3","153.83","226.51","25.39","164.99","425.16","812.11","41.79","1361.67","48.21","1438.73","184.13","458.96","48.98","973.69","92.93","40.14","118.4","246.67","1730"
"65(1,F5)","Unknown38","1622.45","231.83","484.81","84.11","1492.95","108.8","160.92","202.13","920.73","188.99","312.55","608.69","103.54","187.99","736.71","1403.44","186.96","292.5","1144.49","772.06","219.84","207.73","118.75","1073.17","385.58","134.83","120.89","657.72","1622"
"73(1,G1)","Unknown7","53.39","58.82","155.18","284.89","141.54","610.11","128.09","20.69","29.82","184.3","38.11","37.42","63.05","354.27","11.03","14.28","170.3","1239.07","17.75","9.12","881.81","228.05","32.54","25.91","321.69","35.05","27.01","57.44","1678"
"74(1,G2)","Unknown15","144.41","121.52","140.2","569.65","353.03","517.6","244.93","112.31","45.17","120.88","62.5","51.83","87.19","565.27","15.16","16.4","91.96","1675.25","20.95","19.31","1070.72","497.25","32.45","40.14","285.85","52.63","43.91","43.26","1674"
"75(1,G3)","Unknown23","862.34","160.65","664.86","246.22","1002.86","708.49","65.71","352.66","374.18","77.57","313.45","478.89","107.32","188.22","696.02","648.9","92.73","1990.5","1328.06","489.15","623.83","418.81","124.13","467.85","422.47","72.81","123.18","299.53","1582"
"76(1,G4)","FD","2044.55","70.01","205.77","78.01","192.71","98.9","104.33","21.12","1059.33","152.83","812.75","1051.33","29.28","141.93","1307.22","1361.28","152.45","1981.71","50.45","1275.55","631.95","346.46","302.4","1254.14","311.47","197.44","613.64","501.18","1648"
"77(1,G5)","Unknown39","18.9","21.07","75.86","61.23","257.06","76.87","129.66","54.7","16.05","165.34","55.62","26.31","52.35","336.69","7.26","9.8","40.27","933.36","97","8.17","799.16","435.93","18.32","16.75","455.87","26.84","21.35","15.14","1746"
"85(1,H1)","Unknown8","49.9","45.21","87.76","223.69","449.2","61.73","38.4","19","39.81","33.07","44.14","55.39","115.77","605.34","7.9","12.43","95.49","352.42","29.41","9.84","963.01","103.76","33.57","19.41","460.82","27.36","23.12","17.17","1569"
"86(1,H2)","Unknown16","42.43","35.91","109.74","203.23","406.18","78.64","132.85","15.11","26.93","175.55","28.35","30.36","87.19","202.62","6.58","9.29","69.08","1140.38","14.66","4.97","607.44","507.22","16.27","17.53","148.13","22.58","22.78","20.67","1789"
"87(1,H3)","Unknown24","729.12","256.65","187.95","230.45","608.13","127.7","100.32","348.09","546.89","173.77","273.25","627.31","130.43","175.78","530.51","763.52","82.36","2071.49","1000.14","563.14","385.54","331.48","87.68","687.53","72.56","90.72","333.24","135.3","1616"
"88(1,H4)","LG","2654.27","106.52","198.73","75.33","425.16","67.28","70.91","37.82","1064.73","86.65","883.71","1299.47","78.7","252.94","1816.76","1421.94","110.57","1356.99","35.55","1142.04","261.1","138.83","560.16","1183.89","157.06","347.03","943.78","409.11","1706"
"89(1,H5)","Unknown40","186.88","97.11","316.07","503.91","391.88","269.57","102.37","29.01","116.16","55.05","52.16","60.47","123.19","699.78","65.61","173.92","117.61","2085.9","20.99","217.91","466.02","468.15","51.35","228.82","389.51","73.71","50.79","62.95","1714"

"DataType:","Units"
"Analyte:","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA"
"BeadID:","12","15","18","19","20","21","26","27","28","29","33","34","35","36","37","38","39","42","43","44","45","46","47","48","51","56","62","63"
"Units:","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"DataType:","Per Bead Count"
"Analyte:","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA"
"BeadID:","12","15","18","19","20","21","26","27","28","29","33","34","35","36","37","38","39","42","43","44","45","46","47","48","51","56","62","63"
"Per Bead:","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"

"DataType:","Acquisition Time"
"Location","Sample","Seconds","Total Events"
"1(1,A1)","B","39","1817"
"2(1,A2)","S","38","1772"
"3(1,A3)","S","38","1797"
"4(1,A4)","S","38","1800"
"5(1,A5)","S","38","1766"
"6(1,A6)","S","38","1794"
"7(1,A7)","S","38","1957"
"8(1,A8)","S","38","1848"
"9(1,A9)","S","38","1766"
"10(1,A10)","S","38","1717"
"11(1,A11)","S","38","1821"
"12(1,A12)","S","38","1805"
"13(1,B1)","Unknown2","39","1853"
"14(1,B2)","Unknown10","39","1694"
"15(1,B3)","Unknown18","38","1789"
"16(1,B4)","Unknown26","38","1890"
"17(1,B5)","Unknown34","38","1739"
"18(1,B6)","Unknown42","38","1818"
"25(1,C1)","Unknown3","39","1779"
"26(1,C2)","Unknown11","38","1841"
"27(1,C3)","Unknown19","38","1837"
"28(1,C4)","Unknown27","38","1830"
"29(1,C5)","Unknown35","38","1711"
"30(1,C6)","Unknown43","38","1819"
"37(1,D1)","Unknown4","39","1689"
"38(1,D2)","Unknown12","38","1924"
"39(1,D3)","Unknown20","38","1684"
"40(1,D4)","Unknown28","38","1782"
"41(1,D5)","Unknown36","38","1835"
"49(1,E1)","Unknown5","38","1547"
"50(1,E2)","Unknown13","38","1637"
"51(1,E3)","Unknown21","38","1560"
"52(1,E4)","Unknown29","38","1429"
"53(1,E5)","Unknown37","38","1756"
"61(1,F1)","Unknown6","38","1604"
"62(1,F2)","Unknown14","38","1913"
"63(1,F3)","Unknown22","38","1457"
"64(1,F4)","SP","39","1730"
"65(1,F5)","Unknown38","38","1622"
"73(1,G1)","Unknown7","38","1678"
"74(1,G2)","Unknown15","38","1674"
"75(1,G3)","Unknown23","38","1582"
"76(1,G4)","FD","38","1648"
"77(1,G5)","Unknown39","38","1746"
"85(1,H1)","Unknown8","38","1569"
"86(1,H2)","Unknown16","38","1789"
"87(1,H3)","Unknown24","38","1616"
"88(1,H4)","LG","39","1706"
"89(1,H5)","Unknown40","38","1714"


"DataType:","Dilution Factor"
"Location","Sample","Dilution Factor"
"1(1,A1)","B","1"
"2(1,A2)","S","1"
"3(1,A3)","S","1"
"4(1,A4)","S","1"
"5(1,A5)","S","1"
"6(1,A6)","S","1"
"7(1,A7)","S","1"
"8(1,A8)","S","1"
"9(1,A9)","S","1"
"10(1,A10)","S","1"
"11(1,A11)","S","1"
"12(1,A12)","S","1"
"13(1,B1)","Unknown2","1"
"14(1,B2)","Unknown10","1"
"15(1,B3)","Unknown18","1"
"16(1,B4)","Unknown26","1"
"17(1,B5)","Unknown34","1"
"18(1,B6)","Unknown42","1"
"25(1,C1)","Unknown3","1"
"26(1,C2)","Unknown11","1"
"27(1,C3)","Unknown19","1"
"28(1,C4)","Unknown27","1"
"29(1,C5)","Unknown35","1"
"30(1,C6)","Unknown43","1"
"37(1,D1)","Unknown4","1"
"38(1,D2)","Unknown12","1"
"39(1,D3)","Unknown20","1"
"40(1,D4)","Unknown28","1"
"41(1,D5)","Unknown36","1"
"49(1,E1)","Unknown5","1"
"50(1,E2)","Unknown13","1"
"51(1,E3)","Unknown21","1"
"52(1,E4)","Unknown29","1"
"53(1,E5)","Unknown37","1"
"61(1,F1)","Unknown6","1"
"62(1,F2)","Unknown14","1"
"63(1,F3)","Unknown22","1"
"64(1,F4)","SP","1"
"65(1,F5)","Unknown38","1"
"73(1,G1)","Unknown7","1"
"74(1,G2)","Unknown15","1"
"75(1,G3)","Unknown23","1"
"76(1,G4)","FD","1"
"77(1,G5)","Unknown39","1"
"85(1,H1)","Unknown8","1"
"86(1,H2)","Unknown16","1"
"87(1,H3)","Unknown24","1"
"88(1,H4)","LG","1"
"89(1,H5)","Unknown40","1"


"DataType:","Analysis Types"
"Analyte:","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA"
"AnalysisType","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None"

"DataType:","Audit Logs"
"UserId","Date","Message"

"DataType:","Warnings/Errors"
"Location","Status","Message"

-- CRC --
CRC32: 1006D8F1
